Episode,Step,State,Action,Reward,NextState
1,1,Moderate,Medication,-1,Moderate
1,2,Moderate,Diet,-11,HighRisk
1,3,HighRisk,Exercise,-1,HighRisk
1,4,HighRisk,Diet,9,Moderate
1,5,Moderate,Exercise,9,Stable
1,6,Stable,Medication,9,Healthy
2,1,HighRisk,Medication,-1,HighRisk
2,2,HighRisk,Medication,-1,HighRisk
2,3,HighRisk,Exercise,9,Moderate
2,4,Moderate,Diet,-11,HighRisk
3,1,HighRisk,Diet,9,Moderate
3,2,Moderate,Monitor,-1,Moderate
3,3,Moderate,Monitor,-1,Moderate
3,4,Moderate,Monitor,9,Stable
3,5,Stable,Diet,-1,Stable
4,1,Critical,Exercise,-1,Critical
4,2,Critical,Medication,-1,Critical
4,3,Critical,Exercise,-1,Critical
4,4,Critical,Diet,9,HighRisk
4,5,HighRisk,Medication,9,Moderate
4,6,Moderate,Medication,-1,Moderate
5,1,HighRisk,Diet,9,Moderate
5,2,Moderate,Diet,9,Stable
5,3,Stable,Diet,-1,Stable
5,4,Stable,Diet,-1,Stable
5,5,Stable,Exercise,-1,Stable
